日期,周几,阶段,任务,使用草稿,备注
06/30,二,养号期,回答1-2个问题,回答1：小公司有必要用CRM吗？,观察数据，不引流
07/01,三,养号期,回答1-2个问题,回答9：CRM系统一般多少钱一年？,
07/02,四,养号期,休息/浏览,—,点赞同行优质回答，养号
07/03,五,养号期,回答1-2个问题,回答7：用Excel管理和用CRM的区别？,
07/04,六,养号期,回答1-2个问题,回答8：如何让销售团队愿意用CRM？,
07/05,日,养号期,休息,—,
07/06,一,养号期,休息,—,
07/07,二,成长期,回答2-3个问题,回答2：有没有好用的CRM推荐？,可以开始加一句'看我主页'
07/08,三,成长期,回答2-3个问题,回答5：企业微信自带客户管理够用吗？,
07/09,四,成长期,休息/浏览,—,
07/10,五,成长期,回答2-3个问题,回答3：销售团队用什么管客户？,
07/11,六,成长期,回答2-3个问题,回答10：有没有能自定义字段的CRM？,精准词！
07/12,日,成长期,休息,—,回顾本周数据
07/13,一,成长期,写一篇专栏文章,基于本周最佳回答扩展,文章底部可以放链接了
07/14,二,放大期,回答2-3个问题,回答6：企业微信+CRM怎么搭配？,精准词！
07/15,三,放大期,回答2-3个问题,回答4：免费的CRM软件推荐？,
07/16,四,放大期,休息/浏览,—,
07/17,五,放大期,回答2-3个问题,长尾词：教培行业用什么CRM？,自写，仿照草稿风格
07/18,六,放大期,回答2-3个问题,长尾词：AI写跟进话术的CRM？,自写，展示AI功能
07/19,日,放大期,休息,—,分析数据，看哪些回答表现好
07/20,一,放大期,专栏文章第2篇,基于表现好的回答深度扩展,
07/21,二,持续期,回答2-3个问题,长尾词：CRM怎么配合企业微信不丢客户？,
07/22,三,持续期,回答2-3个问题,长尾词：医美行业用什么客户管理系统？,
07/23,四,持续期,休息/浏览,—,
07/24,五,持续期,回答2-3个问题,长尾词：B2B销售用什么CRM？,
07/25,六,持续期,回答2-3个问题,长尾词：小公司用CRM提升效率吗？,
07/26,日,持续期,休息,—,
07/27,一,持续期,找新问题,搜索新问题，补充问题池,根据4周数据调整策略
07/28,二,持续期,回答新问题,搜索到的新问题,
07/29,三,持续期,月度复盘,统计数据，调整下月计划,记录本月引流数据
